,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
46,Port Elizabeth,39.31,-74.98,39.33,48,1,6.93
47,Kavaratti,10.57,72.64,83.25,71,76,4.05
48,Agadez,16.97,7.99,75.2,14,1,6.93
49,Oranjemund,-28.55,16.43,59.36,93,0,7.7
50,Ahipara,-35.17,173.16,65.5,79,0,6.31
51,New Norfolk,-42.78,147.06,53.49,66,20,11.41
52,Faanui,-16.48,-151.75,81.64,76,99,10.45
53,Husavik,50.56,-96.99,26.92,86,96,7.54
54,Busselton,-33.64,115.35,52.09,87,0,1.01
55,Kruisfontein,-34.0,24.73,58.1,94,32,5.66
56,San Patricio,-26.98,-56.83,91.24,47,0,3.96
57,Hilo,19.71,-155.08,74.88,69,75,8.05
58,Myrtle Grove,33.31,-91.27,64.96,55,20,8.61
59,Nanortalik,60.14,-45.24,37.4,71,100,5.84
60,Rhyl,53.32,-3.49,31.98,71,0,4.7
61,Bambous Virieux,-20.34,57.76,75.67,94,40,1.12
62,Pakala,13.62,-15.52,84.18,18,0,5.73
63,Richards Bay,-28.77,32.06,79.32,75,100,19.06
64,Punta Arenas,-53.16,-70.91,48.09,66,75,4.7
65,Norman Wells,65.28,-126.83,15.8,85,90,5.82
66,Waipawa,-39.94,176.59,62.01,76,100,1.9
67,Tiksi,71.64,128.87,-6.63,88,100,9.4
68,Jamestown,-33.21,138.6,49.66,85,35,10.96
69,Tuktoyaktuk,69.44,-133.03,17.6,85,90,11.41
70,Naifaru,5.44,73.37,78.91,84,100,11.52
71,Port Alfred,-33.59,26.89,66.99,90,100,3.0
72,Te Anau,-45.41,167.72,50.79,72,23,1.88
73,Mahebourg,-20.41,57.7,75.67,94,40,1.12
74,Torbay,47.66,-52.73,36.66,100,90,3.36
75,Necochea,-38.55,-58.74,68.38,54,0,1.99
76,Mar del Plata,-46.43,-67.52,59.79,42,100,25.26
77,Hobart,-42.88,147.33,53.47,66,20,11.41
78,Kaitangata,-46.28,169.85,61.0,67,0,5.01
79,Taoudenni,22.68,-3.98,69.73,21,100,7.9
80,Mabaruma,8.2,-59.78,78.78,92,100,2.46
81,Clarence Town,-32.59,151.78,78.64,51,2,5.82
82,Shingu,33.72,135.99,48.07,68,0,8.43
83,Lekoni,-1.58,14.26,76.87,74,76,0.63
84,Upernavik,72.79,-56.15,21.72,94,100,9.26
85,Kamaishi,39.28,141.86,28.92,65,0,7.74
86,Codrington,-28.95,153.24,80.29,61,94,4.7
87,Sabang,13.8,121.11,70.79,80,100,9.26
88,Vardo,39.62,-77.74,43.43,45,75,8.05
89,Harper,30.3,-99.24,66.85,94,90,13.87
90,Avarua,-21.21,-159.78,80.6,69,95,11.41
91,Nioro,13.79,-15.05,85.59,16,0,8.21
92,Puerto Ayora,-0.74,-90.35,74.34,65,90,9.17
93,Sao Jose da Coroa Grande,-8.9,-35.15,79.32,77,0,16.08
94,Kodinar,20.79,70.7,71.71,51,0,11.86
95,Rio Grande,-32.03,-52.1,77.0,69,0,10.29
96,Saint-Philippe,45.36,-73.48,24.35,67,1,6.93
97,Kavieng,-2.57,150.8,82.74,75,97,8.75
98,Ribeira Grande,38.52,-28.7,60.8,93,20,5.82
99,Kindu,-2.95,25.92,69.06,92,0,1.19
100,Pangody,65.85,74.49,-3.86,76,100,18.59
101,Helong,25.94,116.13,41.77,87,0,1.99
102,Aberdeen,46.98,-123.82,42.69,51,1,8.05
103,Kralendijk,12.15,-68.27,82.4,69,20,9.17
104,Aparecida do Taboado,-20.08,-51.1,84.67,63,69,7.72
105,Vanderhoof,54.02,-124.02,17.96,59,85,3.38
106,Saint-Francois,46.42,3.91,44.89,93,90,1.12
107,Kamenolomni,47.67,40.21,44.6,93,75,17.9
108,Lorengau,-2.02,147.27,83.64,70,40,8.34
109,Naze,5.43,7.07,78.01,78,0,3.98
110,Baoqing,46.32,132.2,8.22,71,0,5.03
111,Sibolga,1.74,98.78,70.65,96,95,3.44
112,Mogadishu,2.04,45.34,81.48,79,100,13.24
113,Iquique,-20.22,-70.14,69.8,49,55,11.41
114,Albany,42.65,-73.75,29.14,63,40,8.05
115,Isangel,-19.55,169.27,80.6,65,40,6.93
116,Thinadhoo,0.53,72.93,77.63,88,100,12.21
117,Ust-Tsilma,65.44,52.15,34.72,93,100,9.15
118,Bundaberg,-24.87,152.35,80.82,54,75,9.17
119,Koumac,-20.56,164.28,75.56,58,89,5.41
120,Zhigansk,66.77,123.37,-8.63,96,100,19.86
121,Esperance,-33.86,121.89,55.4,58,90,5.82
122,Carnarvon,-30.97,22.13,69.76,12,47,8.5
123,Atuona,-9.8,-139.03,79.16,69,17,18.12
124,Saskylakh,71.97,114.09,-27.04,98,100,11.27
125,Airai,-8.93,125.41,67.19,72,36,2.89
126,Leningradskiy,69.38,178.42,1.09,95,100,14.18
127,Sicuani,-14.27,-71.23,55.38,22,12,12.17
128,Geraldton,49.72,-86.95,15.8,92,90,8.05
129,Havelock,34.88,-76.9,48.74,53,1,6.93
130,Bafoulabe,13.81,-10.83,83.64,15,0,6.29
131,Kosh-Agach,49.99,88.66,-7.38,77,89,1.12
132,Hithadhoo,-0.6,73.08,78.62,79,100,8.5
133,Srednekolymsk,67.46,153.71,-29.47,100,57,2.08
134,Namatanai,-3.66,152.44,80.74,77,97,7.83
135,Vigia del Fuerte,6.58,-76.89,75.04,99,100,1.36
136,Inirida,3.87,-67.92,82.54,86,100,2.13
137,Chokurdakh,70.62,147.9,-22.13,91,0,8.41
138,Mount Gambier,-37.83,140.78,51.8,87,90,10.29
139,Sulangan,11.14,123.72,81.09,78,100,24.11
140,Phan Thiet,10.93,108.1,70.07,83,0,3.65
141,Bud,62.91,6.91,31.66,86,40,16.11
142,Udachnyy,66.42,112.4,-2.2,84,90,4.47
143,Khatanga,71.98,102.47,-21.3,96,100,9.57
144,Nsanje,-16.92,35.26,73.92,73,0,6.24
145,Les Cayes,18.19,-73.75,81.05,67,64,13.29
146,Bilibino,68.06,166.44,1.8,83,100,5.88
147,Port Blair,11.67,92.75,83.28,77,36,17.67
148,Port Moresby,-9.47,147.16,75.2,94,20,3.36
149,Wanning,48.64,13.53,34.92,93,40,10.29
150,Podgornoye,57.79,82.64,5.22,97,85,2.86
151,Tamalin,21.35,-97.8,81.01,82,81,5.82
152,Aliwal North,-30.69,26.71,69.17,47,95,10.4
153,East London,-33.02,27.91,70.48,81,100,13.78
154,Gunjur,13.18,-16.76,75.2,83,0,2.24
155,Talcahuano,-36.72,-73.12,62.6,55,5,13.87
156,Rio Verde de Mato Grosso,-18.92,-54.84,84.36,64,68,5.91
157,Alta Floresta,-9.87,-56.08,87.8,62,20,4.7
158,Mayo,63.59,-135.9,15.8,92,90,3.36
159,Kampong Thum,12.71,104.89,73.36,79,100,6.93
160,Neon Karlovasion,37.79,26.7,56.62,93,40,3.36
161,Jieshi,22.82,115.83,61.0,72,0,4.85
162,Severo-Kurilsk,50.68,156.12,20.28,86,89,22.39
163,Sao Joao da Barra,-21.64,-41.05,73.4,78,75,11.41
164,Los Llanos de Aridane,28.66,-17.92,70.95,77,90,10.29
165,Spencer,42.24,-71.99,33.71,58,1,12.75
166,Cascais,38.7,-9.42,61.25,100,90,10.29
167,Coquimbo,-29.95,-71.34,72.77,72,4,11.41
168,Puerto Ayacucho,5.66,-67.63,91.4,52,40,3.36
169,Kozhva,65.11,57.05,34.65,94,100,11.12
170,Georgetown,6.8,-58.16,80.2,94,75,2.24
171,Mana,13.03,5.27,79.61,12,1,9.37
172,Vila Franca do Campo,37.72,-25.43,59.0,77,20,1.12
173,Develi,38.39,35.49,59.0,51,75,16.11
174,Fushan,32.67,118.71,51.01,99,64,7.23
175,Salalah,17.01,54.1,77.0,38,96,5.82
176,Nikolskoye,59.7,30.79,36.07,86,90,8.95
177,Hoshcha,50.6,26.67,45.1,88,99,11.63
178,Long Xuyen,10.39,105.43,77.0,94,40,3.36
179,Zyryanovsk,49.74,84.27,-0.94,64,65,1.43
180,Bafra,41.57,35.91,62.6,55,75,6.93
181,Butterworth,5.4,100.37,78.53,88,20,1.12
182,Kuching,1.56,110.34,77.0,94,75,2.24
183,Aklavik,68.22,-135.01,18.37,92,75,4.7
184,Saint-Pierre,48.95,4.24,33.94,100,2,1.12
185,Warmbad,50.67,13.08,32.76,88,40,10.29
186,Bereda,43.27,-7.54,55.42,87,40,10.29
187,Tuatapere,-46.13,167.69,61.25,36,21,1.7
188,Westerland,52.89,4.93,38.71,70,57,4.7
189,Ponta do Sol,-20.63,-46.0,73.38,87,91,1.63
190,Hay River,60.82,-115.79,17.6,67,75,6.93
191,Sokoni,-12.89,28.78,63.73,95,100,4.16
192,Victoria,5.28,115.24,76.01,88,75,9.73
193,Azare,11.67,10.19,77.36,18,1,8.61
194,Adre,13.47,22.2,68.99,14,16,11.1
195,Quang Ngai,15.12,108.8,76.26,84,100,12.35
196,Micheweni,-4.97,39.83,82.51,77,93,17.94
197,Hasaki,35.73,140.83,29.89,49,40,17.05
198,Mizdah,31.45,12.98,56.17,56,36,3.09
199,Ulaangom,49.98,92.07,5.79,87,100,4.74
200,Port Macquarie,-31.43,152.91,78.8,54,36,2.24
201,Sao Filipe,14.9,-24.5,72.91,83,0,13.71
202,Margate,-43.03,147.26,53.49,66,20,11.41
203,Ossora,59.24,163.07,16.81,67,100,17.87
204,Surgut,61.25,73.4,12.2,100,90,6.71
205,Yar-Sale,66.83,70.83,1.98,95,100,20.6
206,Axim,4.87,-2.24,78.42,86,57,3.29
207,Linao,11.02,124.59,74.59,87,37,6.29
208,Shache,38.42,77.24,23.16,74,0,1.99
209,Kinel,53.22,50.63,28.4,58,40,8.95
210,Panguiranan,12.07,123.32,79.36,76,100,22.15
211,Aranos,-24.14,19.11,78.64,36,49,19.06
212,Imbituba,-28.24,-48.67,73.4,69,20,13.87
213,Champerico,16.38,-93.6,84.2,54,75,10.29
214,Lebu,8.96,38.73,51.84,94,43,1.19
215,Marsh Harbour,26.54,-77.06,73.0,68,55,16.55
216,Kumi,1.49,33.93,68.32,87,0,6.78
217,Swinoujscie,53.91,14.25,34.11,86,5,4.7
218,Grindavik,63.84,-22.43,31.15,92,75,13.87
219,Lata,30.78,78.62,13.64,37,0,6.46
220,Katsuura,33.93,134.5,40.1,70,75,13.87
221,Kushima,31.5,131.29,38.35,86,20,10.29
222,Muritiba,-12.62,-38.99,78.06,70,17,5.99
223,Vila do Maio,15.13,-23.22,73.4,78,20,17.22
224,Minab,27.15,57.07,62.6,82,0,4.7
225,Sangueya,10.7,-14.37,79.07,83,82,4.36
226,Chalmette,29.94,-89.96,71.02,53,1,5.82
227,Laramie,41.31,-105.59,30.31,64,1,26.4
228,Helena,46.59,-112.04,11.55,61,90,8.05
229,Syedove,47.08,38.16,42.37,84,100,16.53
230,Price,39.6,-110.81,31.08,97,90,6.93
231,Santa Rosa,-36.62,-64.29,83.43,8,27,21.16
232,Beira,43.2,-8.36,58.62,100,90,11.41
233,Kedougou,12.56,-12.19,84.2,37,0,2.08
234,Bitkine,11.98,18.21,81.9,16,72,8.32
235,Haines Junction,60.75,-137.51,28.98,94,100,8.12
236,Szentlorinckata,47.52,19.75,45.34,100,20,9.17
237,Bertoua,4.58,13.68,74.64,64,96,2.26
238,Luderitz,-26.65,15.16,60.8,82,0,12.75
239,Carlsbad,50.23,12.87,32.67,84,40,10.29
240,Honiara,-9.43,159.96,87.8,66,20,2.24
241,Eyl,7.98,49.82,79.09,72,87,25.86
242,Sovetskiy,56.76,48.47,24.62,90,86,16.53
243,Moskovskiy,55.6,37.35,33.96,94,90,6.71
244,Noshiro,40.21,140.05,30.2,100,75,4.7
245,Omboue,-1.57,9.26,75.79,94,100,3.2
246,Gamba,28.28,88.52,16.41,65,51,5.01
247,Calbe,51.9,11.78,34.75,85,0,6.93
248,ChengDe,40.97,117.93,21.42,97,98,0.98
249,Constitucion,23.99,-104.67,73.06,26,20,20.8
250,Ust-Ishim,57.69,71.17,15.03,92,100,5.97
251,Chuy,-33.69,-53.46,78.51,57,0,6.67
252,Genhe,50.78,121.52,-3.05,87,100,1.95
253,Nihommatsu,37.58,140.43,37.17,64,75,11.41
254,Alice Springs,-23.7,133.88,78.8,26,90,16.11
255,Tuzha,28.58,109.69,38.5,92,100,3.27
256,Taganak,6.08,118.3,82.06,83,75,9.17
257,Nome,30.04,-94.42,72.39,88,90,10.29
258,Tasiilaq,65.61,-37.64,23.0,73,100,2.24
259,Ankang,32.73,108.99,33.51,94,100,1.61
260,Mezen,65.85,44.24,34.47,99,100,11.81
261,Praia da Vitoria,38.73,-27.07,59.88,82,20,2.48
262,Cabedelo,-6.97,-34.84,78.8,78,20,8.05
263,Chapais,49.78,-74.86,14.0,78,90,12.75
264,Stokmarknes,68.56,14.91,27.5,50,40,14.99
265,Tallahassee,30.44,-84.28,69.64,30,1,3.36
266,Longyearbyen,78.22,15.63,6.8,84,90,13.87
267,Paamiut,61.99,-49.67,30.78,48,100,8.81
268,Kloulklubed,7.04,134.26,82.4,83,90,11.41
269,Tarko-Sale,64.92,77.78,-17.0,79,100,11.83
270,Palmer,-34.85,139.16,55.56,87,75,17.22
271,Rabo de Peixe,37.8,-25.58,59.0,77,20,1.12
272,Iqaluit,63.75,-68.52,23.0,67,75,9.17
273,Port Keats,-14.25,129.55,82.92,84,100,5.99
274,Vernon,50.27,-119.27,23.54,62,1,6.93
275,Karratha,-20.74,116.85,79.38,79,0,10.65
276,Nouakchott,18.08,-15.98,66.2,88,0,11.41
277,Prince Rupert,54.32,-130.32,37.4,69,1,3.36
278,Canico,32.63,-16.85,63.43,82,40,5.82
279,Karlskoga,59.33,14.52,27.66,79,0,11.41
280,Berlevag,70.86,29.09,28.94,76,75,18.34
281,Myitkyina,25.38,97.4,60.49,81,0,3.27
282,San Andres,13.32,122.68,73.54,81,35,9.26
283,Sitka,37.17,-99.65,42.01,91,100,14.0
284,Sabzevar,36.21,57.68,44.8,50,0,1.41
285,Dzhebariki-Khaya,62.22,135.8,-21.91,98,100,0.13
286,Lenoir City,35.8,-84.26,52.41,46,90,1.16
287,Sorland,67.67,12.69,28.4,79,75,9.17
288,Eruwa,7.53,3.42,80.31,50,10,1.79
289,Fairbanks,64.84,-147.72,23.97,100,20,3.11
290,San Policarpo,12.18,125.51,79.12,80,98,17.63
291,Pevek,69.7,170.27,-0.24,94,100,8.5
292,Vao,59.1,26.19,32.4,93,100,13.71
293,Moindou,-21.69,165.68,82.4,42,0,4.7
294,Sioux Lookout,50.1,-91.92,23.25,85,90,3.36
295,Kenai,60.55,-151.26,38.71,86,90,5.82
296,Acajutla,13.59,-89.83,84.2,51,20,2.24
297,Payakumbuh,-0.23,100.63,67.32,98,89,1.05
298,Shimoda,34.7,138.93,39.06,98,0,1.99
299,Itacoatiara,-3.14,-58.44,93.9,41,93,3.56
300,Walvis Bay,-22.95,14.51,62.15,82,0,8.05
301,Rio Gallegos,-51.62,-69.22,50.0,57,40,23.04
302,Buala,-8.15,159.59,82.04,70,95,2.17
303,Nova Venecia,-18.71,-40.4,74.48,94,99,9.13
304,Mutoko,-17.4,32.23,68.34,62,57,3.27
305,Mankera,13.01,5.07,80.06,12,64,9.62
306,Huarmey,-10.07,-78.15,73.49,59,100,8.79
307,Mount Isa,-20.73,139.49,84.2,54,14,6.93
308,Killybegs,54.63,-8.45,37.99,88,1,3.0
309,Nuuk,64.17,-51.74,24.8,100,90,4.7
310,Nisia Floresta,-6.09,-35.21,79.92,74,20,8.05
311,Tygda,53.11,126.33,-9.18,94,49,1.77
312,Sur,22.57,59.53,69.28,46,0,4.34
313,Sayyan,15.17,44.32,50.99,42,76,4.03
314,Raton,36.9,-104.44,34.45,92,90,13.87
315,Caridad,13.83,-87.69,86.0,53,75,13.87
316,Hualmay,-11.1,-77.61,71.26,65,99,8.7
317,Sao Caetano de Odivelas,-0.75,-48.02,83.23,68,66,6.2
318,Jasper,33.83,-87.28,60.19,44,90,3.06
319,Kiunga,-6.12,141.3,74.03,95,100,1.66
320,Myshkin,57.78,38.45,35.53,90,100,13.02
321,Laguna,16.17,-88.94,77.0,94,40,5.73
322,Inhambane,-23.87,35.38,78.67,77,0,15.23
323,Quatre Cocos,-20.21,57.76,75.63,94,40,1.12
324,Harrai,22.61,79.22,63.61,64,6,3.02
325,Mehran,33.12,46.17,42.8,87,16,4.7
326,Coihaique,-45.58,-72.07,49.48,66,40,5.82
327,Dingle,11.0,122.67,72.55,92,99,13.15
328,Ivanava,52.14,25.53,38.71,76,41,10.85
329,Ous,60.91,61.52,22.28,86,90,7.36
330,Biu,10.61,12.19,80.17,20,0,12.5
331,Erenhot,43.65,111.97,16.83,46,0,23.69
332,Pemberton,-34.44,116.03,52.09,87,5,1.01
333,Groningen,53.22,6.57,37.47,86,20,4.7
334,Morro Bay,35.37,-120.85,51.76,66,75,7.94
335,Samastipur,25.86,85.78,68.9,58,0,4.41
336,Grand Gaube,-20.01,57.66,75.6,94,40,1.12
337,Narsaq,60.91,-46.05,28.4,50,100,8.05
338,Darhan,49.49,105.92,-6.12,92,0,7.05
339,Shelburne,44.08,-80.2,28.44,86,90,6.98
340,Didi Lilo,41.74,44.97,44.6,81,20,8.05
341,Akom,2.67,12.71,69.85,93,41,1.48
342,Aksarayskiy,46.79,48.01,33.21,80,15,8.95
343,Dodola,10.12,-3.28,80.42,17,0,4.12
344,Araouane,18.9,-3.53,73.9,13,36,9.6
345,Igrim,63.19,64.42,21.43,91,100,10.4
346,Kirakira,-10.46,161.92,80.26,79,35,2.75
347,Marsa Matruh,31.35,27.25,57.2,71,72,7.36
348,Aracaju,-10.92,-37.08,80.6,74,20,11.41
349,Itoman,26.12,127.67,66.58,60,75,14.99
350,Batagay-Alyta,67.8,130.41,-12.82,75,100,4.97
351,Sekoma,-24.51,23.93,80.76,16,0,11.63
352,Praia,-20.25,-43.81,75.2,78,75,10.29
353,Marienburg,52.12,9.98,37.71,93,20,8.05
354,Daliao,22.61,120.4,64.04,82,20,5.82
355,Pangnirtung,66.15,-65.72,17.6,92,90,3.36
356,Ampanihy,-24.69,44.75,69.75,77,0,14.29
357,West Plains,36.73,-91.85,41.4,100,90,6.93
358,Pacific Grove,36.62,-121.92,49.66,54,75,10.29
359,Ocho Rios,18.41,-77.1,83.26,66,20,5.82
360,Kodiak,39.95,-94.76,37.69,93,90,9.17
361,Asekeyevo,53.57,52.8,21.38,81,100,11.5
362,Kalmunai,7.42,81.82,79.34,87,100,9.26
363,Qaqortoq,60.72,-46.03,28.4,50,100,8.05
364,Conceicao da Barra,-18.59,-39.73,79.66,86,100,10.98
365,General Roca,-39.03,-67.58,73.4,18,0,25.28
366,Gull Lake,50.1,-108.48,12.2,92,90,5.82
367,Polunochnoye,60.87,60.43,19.85,90,91,5.5
368,Bathsheba,13.22,-59.52,78.8,83,20,4.7
369,Emba,34.81,32.42,61.21,87,75,3.36
370,Ipaussu,-23.06,-49.63,77.09,80,53,4.59
371,Cayenne,4.94,-52.33,82.4,78,0,5.82
372,Pisco,-13.71,-76.2,70.09,30,64,4.7
373,Pundaguitan,6.37,126.17,80.08,81,47,11.61
374,Shepsi,44.04,39.15,57.16,90,100,29.28
375,Atar,20.52,-13.05,75.74,27,0,1.36
376,Broadstairs,51.36,1.44,35.35,75,31,4.7
377,Kutum,14.2,24.66,62.96,20,40,4.29
378,Grootfontein,-19.56,18.1,73.36,53,91,6.29
379,Kalabo,-15.0,22.67,73.96,66,72,4.74
380,Tomatlan,19.93,-105.25,92.57,31,0,5.73
381,Umm Lajj,25.02,37.27,70.05,52,0,4.23
382,Syamzha,60.02,41.06,32.92,89,100,13.87
383,Saravan,39.72,45.65,41.0,93,90,4.7
384,Manzhouli,49.6,117.43,2.17,95,100,6.98
385,Guerrero Negro,27.97,-114.04,66.13,56,100,16.02
386,Dumas,21.09,72.71,73.4,83,0,5.82
387,Tecoanapa,16.99,-99.26,86.0,74,75,3.36
388,Ajdabiya,30.75,20.22,60.46,71,28,2.44
389,Shagamu,6.84,3.65,82.4,94,20,2.24
390,Danane,7.26,-8.15,73.4,58,0,2.08
391,Fredericton,45.97,-66.65,20.01,62,90,12.75
392,Roald,62.58,6.12,32.09,64,75,10.29
393,Luena,-11.78,19.91,64.02,96,100,5.08
394,Gryazi,52.5,39.96,35.6,100,90,15.66
395,Hami,42.84,93.51,17.71,46,0,1.21
396,Tuburan,10.73,123.82,78.8,78,40,10.29
397,Kayerkan,69.35,87.76,-27.4,74,88,8.95
398,Suicheng,33.9,117.93,42.76,70,100,6.91
399,Yelan-Kolenovskiy,51.16,41.15,38.21,95,100,15.14
400,Antofagasta,-23.65,-70.4,66.2,63,20,14.99
401,Port Arthur,29.9,-93.93,71.65,94,90,11.41
402,Nabire,-3.36,135.5,72.97,95,65,1.68
403,Mae Hong Son,19.3,97.96,60.48,87,0,2.55
404,Saint-Georges,46.12,-70.67,17.33,81,47,1.01
405,Rudnogorsk,57.27,103.75,5.65,93,100,8.46
406,Miraflores,-16.39,-71.52,64.4,45,33,10.29
407,Taltal,-25.41,-70.49,63.54,66,0,5.39
408,Jinchang,38.52,102.19,19.27,82,100,1.48
409,Aracati,-4.56,-37.77,78.46,75,67,9.22
410,Saint-Joseph,43.56,6.97,53.74,50,0,4.7
411,Auki,12.18,6.51,77.16,18,0,7.87
412,Meulaboh,4.14,96.13,81.12,82,100,5.97
413,Tautira,-17.73,-149.15,86.0,66,75,14.99
414,Honningsvag,70.98,25.97,33.49,74,75,26.4
415,Madinat Sittah Uktubar,29.82,31.05,64.18,77,19,9.17
416,Boras,57.72,12.94,26.8,79,0,4.7
417,Anadyr,64.73,177.51,28.18,92,90,53.69
418,Ayan,38.23,44.7,29.37,87,18,9.71
419,Reitz,-27.8,28.43,66.97,38,100,2.89
420,Keelung,25.13,121.74,65.59,88,40,9.17
421,Touros,-5.2,-35.46,78.8,74,20,8.05
422,Barao de Melgaco,-16.19,-55.97,78.8,78,75,11.41
423,Jinka,5.79,36.57,64.26,90,0,4.65
424,Klichka,50.44,118.0,-0.09,96,100,2.55
425,Arlit,18.74,7.39,81.3,12,0,9.33
426,Macau,-5.11,-36.64,81.41,74,41,27.27
427,Cottbus,36.65,-91.85,41.47,100,90,6.93
428,Buraydah,26.33,43.97,60.8,87,0,14.99
429,Masasi,-10.73,38.81,72.41,92,59,4.88
430,Saint-Michel-des-Saints,46.68,-73.92,17.01,7,6,1.01
431,Otukpo,7.19,8.13,79.12,45,0,2.95
432,Ancud,-41.87,-73.83,51.8,76,90,11.41
433,Cherskiy,68.75,161.3,-9.24,96,100,10.65
434,Sept-Iles,50.2,-66.38,22.37,57,75,18.34
435,Diamantino,-14.4,-56.44,80.29,84,99,6.02
436,Kamenka,48.03,28.7,35.01,94,39,7.0
437,Penzance,50.12,-5.53,46.58,100,40,13.87
438,Bani,16.02,42.93,81.64,63,21,3.13
439,Yulara,-25.24,130.99,68.0,56,89,13.87
440,Fortuna,40.6,-124.16,48.29,42,1,3.36
441,Cabra,37.47,-4.43,50.54,93,100,1.12
442,Hamilton,43.26,-79.87,30.34,79,75,4.7
443,Gazanjyk,39.24,55.52,46.24,59,59,3.18
444,Sobolevo,54.43,31.9,34.39,98,100,7.76
445,Bolu,40.73,31.61,42.48,93,72,1.83
446,Rolla,37.95,-91.77,40.15,86,90,9.17
447,Suoyarvi,62.08,32.35,37.26,95,100,11.21
448,Rawson,-43.3,-65.11,63.14,37,86,28.77
449,Igarka,67.47,86.57,-26.68,96,0,6.98
450,San Quintin,17.54,120.52,66.15,79,100,7.07
451,Takoradi,4.89,-1.75,82.04,81,57,6.24
452,Turukhansk,65.8,87.96,-29.31,99,92,3.2
453,Kununurra,-15.77,128.74,82.4,83,100,3.36
454,La Carolina,38.27,-3.62,55.02,94,100,3.0
455,Curup,-3.47,102.53,67.05,93,6,3.56
456,Aasiaat,68.71,-52.87,20.37,87,100,15.55
457,Xichang,27.88,102.25,32.76,95,0,3.04
458,Bandarbeyla,9.49,50.81,80.01,76,100,25.46
459,Opuwo,-18.06,13.84,75.22,44,16,5.86
460,Sola,-3.17,33.8,63.32,90,54,3.42
461,Muros,42.77,-9.06,59.68,100,90,11.41
462,Pochutla,15.74,-96.47,87.89,74,40,6.93
463,Evensk,61.92,159.24,-6.29,72,100,17.85
464,Alyangula,-13.85,136.42,82.4,83,48,5.82
465,Kolondieba,11.09,-6.89,80.58,20,0,4.76
466,Caravelas,-17.73,-39.27,78.15,83,17,10.22
467,Mandera,3.94,41.86,77.0,17,45,1.99
468,Mineros,-17.12,-63.23,84.2,70,40,14.99
469,Shalazhi,43.1,45.36,44.6,93,90,2.24
470,Seddon,-37.81,144.89,55.33,87,90,9.17
471,Benghazi,32.12,20.07,67.8,66,13,4.03
472,Auch,43.65,0.59,45.25,93,75,2.24
473,Porto Velho,-8.75,-63.87,82.4,78,20,1.12
474,Lagoa,37.14,-8.45,56.55,100,75,4.7
475,Kozlovka,55.84,48.25,25.72,73,86,15.66
476,Alofi,-19.06,-169.92,76.78,63,98,5.79
